% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.5E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 06:43"
% Dimension,1
% Nodes,43
% Expressions,1
% Description,Global
% Cycle number,Value
1,2623.051843935668
2,2622.833299980043
3,2622.026042813053
4,2621.008300402682
5,2619.660527049069
6,2617.8019345414796
7,2615.6306859706674
8,2612.979208981378
9,2609.903892316208
10,2606.354949598048
11,2602.571384613744
12,2598.446474548713
13,2593.8329151561557
13,2593.934171455614
14,2588.9473426838085
15,2583.742352233632
16,2578.3457517254865
17,2572.831883072751
18,2566.9909244172304
19,2560.811004418938
20,2554.2373394940805
21,2547.3499275717622
22,2539.983330422401
23,2532.2650919689913
24,2524.334006181147
24.999999999999996,2515.961832874571
25.999999999999996,2506.9319766267436
26.999999999999996,2497.863624485908
27.999999999999996,2488.3239140713413
28.999999999999996,2478.5800575538888
29.999999999999996,2468.4272713669343
30.999999999999996,2458.0039991815283
30.999999999999996,2458.8774443279835
31.999999999999996,2447.288230409671
33,2436.1964618194615
34,2424.663432886591
35,2412.6065957501414
36,2400.16540060463
37,2387.1762853568653
38,2373.6338903396972
39,2359.5657307819347
40,2344.752238190704
41,2329.1272895998554
