% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_2.4.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 05:59"
% Dimension,1
% Nodes,41
% Expressions,1
% Description,Global
% Cycle number,Value
1,2640.6133482842633
2,2640.754505369262
3,2640.5619847411053
4,2640.3629258081673
5.000000000000001,2640.034473352207
6.000000000000001,2639.714714953192
7.000000000000001,2639.252670934009
8,2638.798046526681
9,2638.331160757378
10.000000000000002,2637.760601070331
11.000000000000002,2637.021624805988
12.000000000000002,2636.3011072437075
13.000000000000002,2635.5220700512436
14.000000000000002,2634.7626413121034
15.000000000000002,2633.837052576215
16,2633.0279030071833
17,2632.0486143048765
18,2630.939222592817
19,2629.9103163930995
20.000000000000004,2628.6679942572664
21.000000000000007,2627.4473343330756
22.000000000000007,2626.139983072251
23.000000000000007,2624.7683163034526
24.000000000000007,2623.3806347341015
25.000000000000007,2622.0951681186416
26.000000000000007,2620.643616096495
27.000000000000007,2619.2202158317086
28.000000000000007,2617.8377059919585
29.000000000000007,2616.292315591767
30.000000000000007,2614.7833221678447
31.000000000000007,2613.265196680615
32.00000000000001,2611.7263470251346
33.00000000000001,2610.1490425830125
34.00000000000001,2608.53351567316
35.00000000000001,2606.972047582123
36.00000000000001,2605.272079238086
37.00000000000001,2603.6204958503076
38.00000000000001,2601.97268649115
39.00000000000001,2600.300332203886
40.00000000000001,2598.599773031776
41,2596.9653123609023
