% Model,EMSI_model_V1_C_rate_2.5_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 10 2026, 23:46"
% Dimension,1
% Nodes,45
% Expressions,1
% Description,Global
% Cycle number,Value
1,712.8454099896398
2,719.6322015690594
3,718.745145205678
4,717.6502459041822
5,716.3846281175502
6,714.8880955967988
7,713.2552808293531
8,711.4099872420484
9,709.3139487959888
10,707.0868822502434
11,704.5831286030625
12,701.9478251755245
13,699.1822071672796
14,696.1681810874106
15,693.057394640502
16,689.7576035806233
17,686.3208769998455
18,682.6661563074595
19,678.9054611801366
20,675.0353079111264
20,675.2082014124571
21,671.0625239808323
21,672.0043396676956
22,666.8492096513437
23,662.5542409542868
24,658.0661601454121
25,653.5344970627921
26,648.8604881625361
27,644.1057548622266
28,639.1812152495186
28,640.114499458643
29,634.287742755143
30,629.1710258949606
31,624.0009124708376
31,624.703823145981
32,618.7491749342662
33,613.3660303047654
34,607.7299561706968
35,601.9692908983052
36,596.1218042800538
37,590.1775860108319
38,584.2935747721931
39,578.3944746070847
40,572.5126994553066
41,566.5511631391782
