% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 18:16"
% Dimension,1
% Nodes,397
% Expressions,42
% Description,Line graph
% Arc length (µm),Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity,Average diffusivity
0,3.2081155336335693E-10,3.758830183164686E-10,3.795724041200801E-10,3.8314290726088526E-10,3.8681955858409806E-10,3.9040659206501226E-10,3.9385039813472784E-10,3.9729560325648316E-10,4.007812084852841E-10,4.041615772158857E-10,4.0806415717719716E-10,4.117383280338679E-10,4.1528947869887326E-10,4.1881729782885404E-10,4.223532847878119E-10,4.2588299918198693E-10,4.2942061097463417E-10,4.329526426811824E-10,4.364868976021832E-10,4.3999923642332387E-10,4.434988039547617E-10,4.4699363733987846E-10,4.5052002292615074E-10,4.5393014341969706E-10,4.573537616472609E-10,4.607637485141138E-10,4.6425579860876334E-10,4.677022986969844E-10,4.710238469285443E-10,4.743374002406614E-10,4.776210074955586E-10,4.808709022539547E-10,4.841146860739124E-10,4.873024353210231E-10,4.904639699840199E-10,4.935932353925182E-10,4.967082959308471E-10,4.997520467904754E-10,5.026205900148229E-10,5.054672339421945E-10,5.085388807385999E-10,5.112539892577026E-10
78.44954990249195,3.2081155336335714E-10,3.75969555528587E-10,3.7962164695460304E-10,3.832001538703277E-10,3.8681838643797363E-10,3.9038172715608244E-10,3.9382225871528286E-10,3.972757132597256E-10,4.0076571439391457E-10,4.0421140348504466E-10,4.0808052338876835E-10,4.1172022554014467E-10,4.152630370930496E-10,4.1879164397320907E-10,4.2232900265161774E-10,4.258614743621741E-10,4.2940127639229963E-10,4.3293563297599006E-10,4.36468994372173E-10,4.399842071305749E-10,4.434871598073381E-10,4.469827290402495E-10,4.5049821663947715E-10,4.5391760946867147E-10,4.573451215647489E-10,4.607577774605647E-10,4.6423856392024833E-10,4.676755832286298E-10,4.710066174889714E-10,4.743265391670918E-10,4.776137696772595E-10,4.808665061081734E-10,4.841120328712968E-10,4.873015172569555E-10,4.904676241333815E-10,4.93593393269235E-10,4.966800142810544E-10,4.99725077581526E-10,5.02607404944737E-10,5.054607767677238E-10,5.08505646796317E-10,5.112369638554397E-10
156.8990998049839,3.2081155336335693E-10,3.7605398954160716E-10,3.796697720557708E-10,3.8325264595389056E-10,3.8681472497409254E-10,3.9035667004705984E-10,3.937951954216564E-10,3.972567624002206E-10,4.007509399693493E-10,4.042585340688498E-10,4.0809277252577255E-10,4.11700880873968E-10,4.152363137664544E-10,4.1876594268310063E-10,4.223048751636291E-10,4.2584010547109895E-10,4.293821199880007E-10,4.3291872692152314E-10,4.3645132109894167E-10,4.399693082939498E-10,4.43475426090302E-10,4.469717581138491E-10,4.5047693706572267E-10,4.539050125384069E-10,4.5733623621640044E-10,4.607514470543436E-10,4.642213309494851E-10,4.676490252334821E-10,4.709890992842559E-10,4.743149768282554E-10,4.776056131017542E-10,4.808609423262177E-10,4.841081199259608E-10,4.872991710659139E-10,4.904693240951694E-10,4.935919916665673E-10,4.966528523075642E-10,4.996978709024946E-10,5.025931793190382E-10,5.054529163336101E-10,5.084721013494691E-10,5.112185049651996E-10
235.34864970747586,3.2081155336335714E-10,3.761363099187675E-10,3.7971677820027976E-10,3.8330037002840916E-10,3.8680858145894034E-10,3.9033143550862836E-10,3.937692253847074E-10,3.972387659026299E-10,4.007368998822791E-10,4.043029544089521E-10,4.081008992286027E-10,4.1168029920175687E-10,4.152093179525855E-10,4.1874020318133943E-10,4.222809124153371E-10,4.258189025088175E-10,4.293631532139039E-10,4.32901937352515E-10,4.36433890282371E-10,4.3995455126773315E-10,4.434636181343452E-10,4.4696073763569345E-10,4.504562011534004E-10,4.5389236795967706E-10,4.5732712140128274E-10,4.607447717545884E-10,4.642041190942437E-10,4.676226417540601E-10,4.709713064260243E-10,4.743027273476096E-10,4.775965522603631E-10,4.808542266041421E-10,4.841029609969582E-10,4.872954120007013E-10,4.904690843558418E-10,4.935890444847394E-10,4.966268339089985E-10,4.996704493002624E-10,5.025779321169364E-10,5.054436698864289E-10,5.08438268882774E-10,5.111986310190625E-10
313.7981996099678,3.2081155336335693E-10,3.76216506249646E-10,3.7976266417388017E-10,3.8334331277474335E-10,3.8679996320425174E-10,3.9030603830808096E-10,3.937443657395272E-10,3.97221738995456E-10,4.0072360880522445E-10,4.0434464999315395E-10,4.081048982564816E-10,4.116584856996541E-10,4.151820588831834E-10,4.1871443468858377E-10,4.222571244962174E-10,4.2579787547365635E-10,4.2934438752046904E-10,4.3288527710187704E-10,4.3641671442080216E-10,4.39939947404874E-10,4.4345175126864054E-10,4.469496806795854E-10,4.504360258498691E-10,4.5387969106163917E-10,4.5731779291760556E-10,4.607377660203978E-10,4.64186947749543E-10,4.675964498293725E-10,4.709532530243431E-10,4.742898048501174E-10,4.775866016483259E-10,4.808463746451623E-10,4.840965698520607E-10,4.872902553255217E-10,4.90466919423975E-10,4.935845656376434E-10,4.966019829866082E-10,4.996428353172626E-10,5.025616823214867E-10,5.05433054682566E-10,5.084041738752145E-10,5.111773604577402E-10
392.2477495124598,3.2081155336335714E-10,3.7629456815068387E-10,3.798074287714011E-10,3.833814610392567E-10,3.8678887756656594E-10,3.902804932092552E-10,3.937206336258999E-10,3.9720569691139413E-10,4.0071108141279627E-10,4.043836063563124E-10,4.081047644879579E-10,4.116354455533819E-10,4.151545457881764E-10,4.186886464233318E-10,4.222335214937656E-10,4.2577703436225065E-10,4.2932583435649837E-10,4.328687590007346E-10,4.3639980601110507E-10,4.3992550805702626E-10,4.4343984082081885E-10,4.469386003181017E-10,4.504164281015339E-10,4.538669971718234E-10,4.573082665626484E-10,4.6073044431073127E-10,4.6416983630766486E-10,4.675704664949811E-10,4.709349531876414E-10,4.742762234620545E-10,4.775757757645421E-10,4.808374021592952E-10,4.840889602674211E-10,4.872837163155587E-10,4.90462843829716E-10,4.935785690524258E-10,4.965783234448065E-10,4.996150514913935E-10,5.025444489192235E-10,5.054210879877647E-10,5.083698407999113E-10,5.111547117300935E-10
470.6972994149517,3.2081155336335693E-10,3.7637048526571037E-10,3.798510707967818E-10,3.834148018352889E-10,3.867753319467839E-10,3.9025481497247977E-10,3.9369804618877003E-10,3.971906548876931E-10,4.006993323819591E-10,4.044198090812459E-10,4.081004929213934E-10,4.116111839580952E-10,4.151267878956238E-10,4.186628476019174E-10,4.222101134935412E-10,4.2575638916958556E-10,4.293075051691901E-10,4.328523958784653E-10,4.3638317754874977E-10,4.399112445745842E-10,4.4342790211695324E-10,4.46927509622585E-10,4.5039742485405E-10,4.5385430161612223E-10,4.5729855813269163E-10,4.6072282108431036E-10,4.641528041581714E-10,4.675447087830717E-10,4.709164210226392E-10,4.742619973108203E-10,4.775640891113146E-10,4.808273248630087E-10,4.840801460272395E-10,4.872758102565594E-10,4.904568721242395E-10,4.935710686690772E-10,4.965558791917136E-10,4.995871203559399E-10,5.025262508998027E-10,5.054077870766848E-10,5.083352941240099E-10,5.111307032926537E-10
549.1468493174436,3.2081155336335714E-10,3.7644434067371756E-10,3.7989362183445733E-10,3.8344328192533727E-10,3.867590645984235E-10,3.9022886105643645E-10,3.936765426218773E-10,3.971765678077656E-10,4.0068828858045935E-10,4.04453412178467E-10,4.080918549176887E-10,4.1158552404974793E-10,4.150986405929169E-10,4.1863689081358395E-10,4.221867641250872E-10,4.2573581000960777E-10,4.2928929723940403E-10,4.3283610538411155E-10,4.363667482852267E-10,4.3989708291578454E-10,4.4341588498207327E-10,4.4691635025315466E-10,4.5037898328467606E-10,4.5384157559435956E-10,4.5728865999249546E-10,4.607148777761753E-10,4.6413584197694873E-10,4.675191036687748E-10,4.708975914028793E-10,4.742470718484897E-10,4.775515055787828E-10,4.808161117208927E-10,4.840700744336469E-10,4.872664859790405E-10,4.904489390656586E-10,4.935620215076899E-10,4.965347386145821E-10,4.995590358483364E-10,5.02507074674546E-10,5.05393135097662E-10,5.083005255554203E-10,5.111052857408793E-10
627.5963992199356,3.2081155336335714E-10,3.765159123484611E-10,3.7993497430621584E-10,3.834663462094451E-10,3.867395555007573E-10,3.9020254003750013E-10,3.936562783701139E-10,3.9716361302636694E-10,4.006780905149479E-10,4.044843254678339E-10,4.0807811058257054E-10,4.115581623859033E-10,4.1506996299310463E-10,4.1861061213473535E-10,4.221633845508886E-10,4.257152516691935E-10,4.2927122131183E-10,4.3281998543450024E-10,4.363506262364292E-10,4.3988314204711357E-10,4.4340403782266225E-10,4.469053075872666E-10,4.5036140931327105E-10,4.5382904639681085E-10,4.572788662311855E-10,4.6070685888778885E-10,4.641193817859444E-10,4.674938223770229E-10,4.708785503220723E-10,4.742315923822881E-10,4.775382187242094E-10,4.808039999754814E-10,4.840588583443399E-10,4.872559660001508E-10,4.904391133950589E-10,4.935515553356582E-10,4.965155877318966E-10,4.995312528277738E-10,5.024872621673056E-10,5.053773796352974E-10,5.082660409066283E-10,5.110786241424512E-10
706.0459491224277,3.2081155336335693E-10,3.7658207574459257E-10,3.7997299506325666E-10,3.8348115737978387E-10,3.867168020688227E-10,3.90175931466379E-10,3.936371932450361E-10,3.971514976996937E-10,4.006685080227774E-10,4.045084556419929E-10,4.080578803362682E-10,4.115284313778798E-10,4.150403072950663E-10,4.1858360017118273E-10,4.2213958913912655E-10,4.256943311975439E-10,4.2925287857959626E-10,4.3280365437043546E-10,4.363344594081243E-10,4.398690008876656E-10,4.433920086568225E-10,4.4689396640456687E-10,4.503445615829692E-10,4.538164034609354E-10,4.572687771926286E-10,4.606982746957457E-10,4.641032125905715E-10,4.674688175601835E-10,4.708590069557884E-10,4.742152477493128E-10,4.775238892453381E-10,4.807906953614457E-10,4.840461520993161E-10,4.872439627859442E-10,4.904271197861625E-10,4.9353923812742E-10,4.964983436507806E-10,4.995040620211248E-10,5.024667938716913E-10,5.053603091581829E-10,5.082321475182041E-10,5.110507578460627E-10
