% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_2.4.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 05:59"
% Dimension,1
% Nodes,397
% Expressions,42
% Description,Line graph
% Arc length (µm),genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot
0,1000.0000000000015,987.6052985308538,977.4634556727709,967.8036395697575,957.8653543060466,947.7905599730957,937.7017002474017,927.8225496403685,917.9907784834082,908.1844710061174,898.4896760281969,888.8226434250815,879.2925577687632,869.8008103733657,860.3805082435272,851.0224947073235,841.7698834319818,832.5884074233584,823.4982143429776,814.4550859953434,805.4051088242219,796.8225193067389,788.0819708946946,779.3571336026196,770.8199613885865,762.4148412097605,754.1760565318904,746.0604611479076,738.052493802144,730.1723366548847,722.4259170999298,714.5882855258061,707.24317223846,699.9648860574504,692.8505145175808,685.8151696239918,679.1442009080955,672.3000580171855,665.6208071787536,659.037564795216,652.6162402213622,646.3055692810324
78.44954990249195,1000.0000000000015,987.6267230221405,977.4823646392259,967.8343635212657,957.8456366768155,947.7694779442469,937.7024834834733,927.8218435888499,917.992950011767,908.1891918530216,898.4942170539695,888.8346840463216,879.3088033192209,869.8174582976172,860.398176604856,851.0461826035686,841.7895760171344,832.6030033658425,823.5076714903664,814.4688877903745,805.4186655165718,796.8179355405115,788.084884830896,779.3646326534376,770.8298763545062,762.4234257214722,754.1847711924457,746.0693725812228,738.0655940787932,730.1832469406096,722.4405981548309,714.6125363362867,707.2526277294655,699.9835079316284,692.8752429807215,685.8501215132427,679.1204793519926,672.2782479205107,665.6058921861135,659.0247179816414,652.6076084736769,646.3027854064596
156.8990998049839,1000.0000000000019,987.6450462316785,977.4984174057012,967.8548199735726,957.8217947240553,947.7455211539982,937.7001211994441,927.8186308465512,917.9926562256943,908.1915045667993,898.4969301911398,888.8452362915018,879.3230993601479,869.8320633668726,860.413622954023,851.0675557959535,841.8071215267502,832.6160111982873,823.5161469243486,814.4815040157271,805.4311334803748,796.8129747176162,788.0873790244681,779.3716890432429,770.8396363443659,762.4323355939678,754.194008458396,746.078859454021,738.0793217833235,730.1955097530554,722.4567504898387,714.6413821552899,707.2678346740922,700.0054054397258,692.9021590137874,685.8853597473832,679.0999446173826,672.2609860287282,665.59513904336,659.0167827114145,652.6040657616844,646.3052467983555
235.34864970747586,1000.0000000000015,987.6602201269988,977.5115671774821,967.864941341993,957.7937826086932,947.7186477845889,937.6945646278685,927.8128654585415,917.9898543762783,908.1913715766723,898.4977746902571,888.854259754225,879.3354068734361,869.8445888529677,860.4268114805888,851.0865746843951,841.8224799232831,832.6273931368282,823.5236048018218,814.4929001159346,805.4424799259705,796.8076071897696,788.0894211718379,779.3782654939022,770.8491991115837,762.4415253272936,754.2037254844867,746.0888851587279,738.0936398378258,730.2090750176238,722.4743292904292,714.6747712691981,707.2887439175495,700.0305323233562,692.9312007244223,685.920815383198,679.0825491229631,672.2482258538604,665.5884967468279,659.0137115281356,652.6055631313262,646.3129079125832
313.7981996099678,1000.0000000000015,987.6721966756276,977.5217671598477,967.8646600418407,957.7615544916595,947.6888160182604,937.685765001304,927.8045014698886,917.9845017146054,908.1887553118673,898.4967098018716,888.8617140280936,879.3456868409788,869.8549980277363,860.4377063741107,851.1031996688138,841.8356111691869,832.6371113976008,823.5300092796837,814.5030415355309,805.4526720637002,796.8018033086871,788.0909789694289,779.3843247272805,770.8585224095766,762.4509494214955,754.2138794254681,746.0994130877685,738.1085111643906,730.2238926597163,722.4932897420799,714.7126519643945,707.3153063050448,700.058842324135,692.9623062202713,685.9564194774731,679.0682452874304,672.2399209079305,665.5859142928492,659.0154569754045,652.6120516285432,646.3257232050081
392.2477495124598,1000.0000000000015,987.680927845093,977.5289705580811,967.8539084884304,957.7250645338812,947.6559840372546,937.6736735523065,927.7934929256616,917.9765554917585,908.1836182016058,898.4936947765306,888.8675587067127,879.3539002446666,869.8632541630135,860.4462718241522,851.1173911491289,841.8464752269145,832.6451281967421,823.5353245148325,814.5118937190496,805.4616771039006,796.7955334260843,788.0920201136665,779.3898294652439,770.8675639917619,762.4605623766207,754.2244274360868,746.1104066335677,738.1238986851097,730.2399126047346,722.5135870302674,714.7549725272618,707.3474726817884,700.0902891836754,692.9954136089782,685.992103086993,679.0569855294818,672.2360247029618,665.5873406777572,659.0219715968221,652.6234822992787,646.3436471314932
470.6972994149517,1000.0000000000018,987.686365602923,977.5331305774624,967.8326190970771,957.6842668962869,947.6201100238125,937.6582415134317,927.7797938709302,917.9659729588269,908.1759226751142,898.4886888647866,888.8717533836852,879.3600080663933,869.8693205306337,860.452472020272,851.1291095252604,841.8550320589188,832.6514057503862,823.5395146641656,814.5194221110263,805.4694622569126,796.7887678936786,788.0925123009748,779.3947424296587,770.8762816115574,762.470318692715,754.2353266710918,746.1218291885497,738.1397653220744,730.2570847780803,722.5351763404693,714.8016812441826,707.3851938929884,700.1248266435919,693.0304609981889,686.0277972685425,679.0487222678141,672.2364907509759,665.5927248978846,659.0332079359886,652.6398061894731,646.3666341479023
549.1468493174436,1000.0000000000015,987.6885755483713,977.5343055029318,967.8004070026516,957.6391048040781,947.5812165956941,937.639459596901,927.7634427275266,917.9528347632059,908.1658177746044,898.4818889335886,888.8745269084585,879.3642926033903,869.8734807968451,860.4566087224879,851.1386852641108,841.8615566675799,832.6562441395853,823.5429126590209,814.525988693109,805.4763704197273,796.7818682752147,788.0928066018778,779.3993456850375,770.8848864075504,762.480405919011,754.246780619391,746.1338800635732,738.156307315941,730.2755078765383,722.5581536529597,714.853100182354,707.428932707013,700.1626400661695,693.0674628027425,686.0634679366343,679.0434042677293,672.2413485409772,665.6020267684454,659.0492027536653,652.6610636447285,646.3948228254923
627.5963992199356,1000.0000000000015,987.6871321304719,977.5320279289873,967.7552659881305,957.5889101161861,947.5388518754336,937.6167858365012,927.7441036258266,917.9369269759321,908.1532052625888,898.473216149197,888.8758511296829,879.3667170830881,869.8758081738438,860.4588812610587,851.1462124092284,841.865936579599,832.6596467875286,823.5456527447084,814.5318442597635,805.4825934470708,796.7750853064559,788.093052648816,779.4035310254621,770.893023192443,762.4902940081442,754.258203059743,746.1462006923028,738.1730460815835,730.294095679488,722.5819650388524,714.9087555579421,707.4784339240092,700.2033408683508,693.1052043374667,686.0976811660248,679.040048114521,672.2499050649488,665.614246865687,659.0693704156297,652.6866775351829,646.4278193233198
706.0459491224277,1000.0000000000019,987.6855460230314,977.5298709557616,967.7007528651748,957.5375888654468,947.4968614450366,937.5936510312702,927.7251774271234,917.9216426949522,908.14145065627,898.4656856636909,888.8785162500773,879.3698504822179,869.8789257356436,860.46195965147,851.1538911793332,841.8705142906338,832.6639448011532,823.5500346694008,814.5392197966302,805.4905163905017,796.7708289945601,788.0954216880855,779.4093460106656,770.9026069905723,762.5017854135149,754.2713164671508,746.1606733568974,738.191803990373,730.3144850746716,722.6082814913082,714.9692840078219,707.5336841173367,700.2483017997679,693.1447722811084,686.1310696947932,679.041237796297,672.2643843144064,665.6317486903226,659.0957657491259,652.7186959883942,646.4674472672119
