% Model,EMSI_model_V1_C_rate_1_T_ref_303_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 05:47"
% Dimension,1
% Nodes,397
% Expressions,42
% Description,Line graph
% Arc length (µm),genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot
0,1000.0000000000015,984.486223274709,971.5803982867241,958.7269976306405,946.0323268248552,933.4444319474645,920.9562331871858,908.5463745953762,896.2080414357936,884.4076430505636,872.1464981185429,860.0240779459402,848.0408870556588,836.1954207581132,824.479521465422,812.8716200981387,801.3848613799743,790.0589675200672,778.8805039448788,767.6092945585368,756.6961224256761,745.9951758820205,735.3531000054611,724.9226292452114,714.7335375736583,704.7263488708704,694.877683329534,685.2100973050192,675.742424444751,666.445631947793,657.2117522295803,648.2190937895016,639.4372980641999,630.8214913265351,622.4667242741176,614.2055933289216,606.1392163074158,598.2619230048925,590.6047197826878,583.1555117930363,575.8270376709613,568.5073997567704
78.44954990249195,1000.0000000000015,984.5077299072204,971.5984311793966,958.748913648287,946.0519702577826,933.4628967274882,920.9714272068948,908.5633412215066,896.2222034105168,884.381431446449,872.1275392611789,860.0173374516053,848.0401738440628,836.1990946237605,824.4884250731501,812.8835382121182,801.397513233037,790.0678688287221,778.890498929877,767.6498990913203,756.72093518498,746.0147578629794,735.3716666252985,724.9533005112428,714.7599124893082,704.7469067928015,694.8982510920819,685.2290471417626,675.760994736798,666.4637430063849,657.2307575941644,648.2361431571086,639.4536763786863,630.8395819439628,622.4774558847886,614.2164438645252,606.151522591019,598.2726650813381,590.6127508616074,583.1613987299869,575.8330007667255,568.527705921698
156.8990998049839,1000.0000000000018,984.5270961271997,971.6147208379339,958.769195568773,946.070238498324,933.4802269211299,920.9859097488217,908.5794581518674,896.2360865781156,884.3540139691083,872.1085536305126,860.010312380656,848.0393426032634,836.202798721296,824.4974259670454,812.8951656783202,801.4097546372126,790.0770480994315,778.900893373595,767.6895583359068,756.7462230886421,746.0353994940311,735.3932101105073,724.9855270545025,714.7881455275012,704.7698657289221,694.9213253119246,685.2507984346959,675.7826817605015,666.4852969251826,657.2535399240521,648.2573553157913,639.4745115119073,630.862208909966,622.4931346429302,614.2327903750524,606.169367848176,598.2895211615048,590.6274497989389,583.1742785247395,575.8464444926807,568.5561725471666
235.34864970747586,1000.0000000000013,984.5442793526258,971.6292243883063,958.7877964977376,946.0870814010677,933.4963720187775,920.999630498609,908.5946783597848,896.2496452576041,884.3253512907478,872.0895026793809,860.0029636644639,848.0383504597957,836.2064904449425,824.5064826716456,812.9064631810489,801.4215490766713,790.086470708196,778.9116552052956,767.7282335026014,756.7719522497949,746.0570714669037,735.417704463414,725.0192795305034,714.8182100478273,704.7951973330272,694.9468755067265,685.2753185764362,675.8074531276415,666.5102573188473,657.2800590461316,648.2826877252255,639.4997620203537,630.8893332310921,622.5137190797341,614.2545866026968,606.1927179965977,598.3124504496091,590.6487747267008,583.1941081827681,575.8673227742412,568.5927494870036
313.7981996099678,1000.0000000000016,984.5592370014771,971.6418989564808,958.8046695408194,946.1024488206048,933.5112815108236,921.0125391418978,908.6089548185818,896.2628337679905,884.2954040835773,872.0703478606207,859.9952522343966,848.0371545401932,836.2101271889219,824.5155537114886,812.9173914046092,801.4328600355839,790.0961020310174,778.9227523542421,767.7658858017097,756.7980887815735,746.0797444733271,735.4451236863475,725.0545285947577,714.8500794098776,704.8228732589108,694.9748711941523,685.302574959603,675.8352764499977,666.5385878020396,657.3102747872892,648.3120978450896,639.5293864605134,630.9209159138873,622.5391677263904,614.2817862896512,606.2215389539957,598.3414121498661,590.6766837769106,583.2208447095496,575.8955895368214,568.637386595032
392.2477495124598,1000.000000000001,984.5719264917354,971.6527016684255,958.8197678036587,946.116290611523,933.5249048876566,921.0245853643289,908.6222405015818,896.2756064282894,884.2641330198029,872.0510506270705,859.9871390218246,848.0357119709901,836.2136663474574,824.5245976111128,812.9279110333056,801.4436509981216,790.105907443898,778.9341527496978,767.8024764435372,756.8245987971112,746.1033892050284,735.4754417816349,725.091244902779,714.883726973243,704.8528651603682,695.005281891867,685.332534976813,675.8661193393498,666.5702519894197,657.3441469744137,648.3455431350591,639.5633433888753,630.9569179648986,622.5694391140901,614.3143431781084,606.2557966380797,598.3763654664949,590.7111350815873,583.2544451105574,575.9311987058348,568.6900337250794
470.6972994149517,1000.0000000000019,984.5823052413778,971.6615896501121,958.8330443918949,946.1285566284135,933.5371916396687,921.0357188515451,908.6344883821099,896.2879175575117,884.2314987716326,872.0315724315673,859.9785849581161,848.0339798787221,836.2170653147712,824.5335728950545,812.9379827514422,801.4538854484548,790.1158523228374,778.9458243209261,767.8379666383896,756.8514484095433,746.1279763537358,735.5086327516034,725.1293991100796,714.9191260975141,704.8851446911925,695.0380771175344,685.3651660206841,675.8999494074789,666.6052134956487,657.3816354343923,648.3829810548116,639.6015913619287,630.9973003906728,622.6044917740244,614.3522110102616,606.2954569665609,598.4172696037108,590.7520867727483,583.2948663912674,575.9741042066967,568.7506407309696
549.1468493174436,1000.0000000000016,984.5905093381496,971.6686896671255,958.8445948218266,946.1392921736958,933.5481864714211,921.0460271949177,908.6457996049429,896.2998877969693,884.1973874033868,872.0119405476266,859.9696631678396,848.0320321737944,836.2204507782627,824.5426950089625,812.947767313866,801.4637285877087,790.1261484912299,778.9580353399532,767.8725804222934,756.8788771935523,746.1538170638808,735.5451190440433,725.1693706411924,714.9566800832305,704.9200937413405,695.0735810959023,685.4007544333869,675.9370840717559,666.6437153163286,657.4229530219219,648.4246144434555,639.6443357300127,631.0422723814506,622.64444730833,614.3954774567311,606.3406442967462,598.4642279849213,590.7997084362429,583.3422411140112,576.0244577574388,568.8194174396241
627.5963992199356,1000.0000000000015,984.5958229174892,971.6732726885205,958.8535430290068,946.1474728488871,933.5567800242331,921.0544774786758,908.655237981243,896.310709082507,884.1606712759542,871.9914159123134,859.9596305820048,848.0290597492516,836.2231444562319,824.5514216725289,812.95678920169,801.4728273358531,790.1365275590207,778.9705727017868,767.9058786293181,756.9067357758033,746.1808677168091,735.5851969484899,725.2113859658342,714.9965182219162,704.9578177549369,695.111861917359,685.4391808525053,675.9774383519962,666.6851839864951,657.4675395893386,648.4699702904729,639.6911395174121,631.0915378917978,622.6889400899107,614.443420249651,606.3912675868604,598.5165672728402,590.853402292963,583.3960107271645,576.0815520024923,568.89574171809
706.0459491224277,1000.0000000000019,984.6002378590359,971.6772904994601,958.8616467604687,946.154862122383,933.5646577740949,921.0627029453359,908.6644654610723,896.3219394746086,884.1244348365058,871.9724090211777,859.9505863348755,848.0269621480978,836.2267616393343,824.5610904665805,812.9665817423962,801.4828937481116,790.148556187877,778.9848824916585,767.9389167820135,756.9363489487415,746.2103910543775,735.6297316893315,725.2564208336455,715.0395467305774,704.9992405675599,695.1539204229433,685.4813459292939,676.0217809770439,666.7302512142177,657.5160679275318,648.5196557461636,639.7426681091887,631.1457828057924,622.7386607955624,614.4967462243961,606.4482802944634,598.5749202436621,590.913707041859,583.4569296064933,576.1457345290264,568.9794533621592
784.4954990249196,1000.0000000000016,984.6061918596881,971.6832520642253,958.8714471232456,946.1642247759762,933.5746403234554,921.0732807408602,908.6759243237175,896.3357251861661,884.0932561464053,871.9580358505021,859.945361774861,848.028288044846,836.2334621936069,824.5734302710266,812.97890560385,801.4957128994029,790.1637994345876,779.002383405003,767.9728991529381,756.9686294255495,746.2431631521192,735.6783374188735,725.3045248194938,715.0859427700535,705.0446008070456,695.200056397083,685.5277800830296,676.0705104529203,666.7800912255175,657.5694488354858,648.5743760865012,639.7995821898551,631.2055415034798,622.794423096046,614.5565544291217,606.5118485329073,598.6402413276276,590.981279771245,583.5258702682706,576.2178933477712,569.0705956453643
862.9450489274116,1000.0000000000013,984.6127457197681,971.6901968709283,958.8819888634889,946.1746202533631,933.5857625297142,921.0851425665396,908.6886154958416,896.3509021138882,884.0669536686082,871.9475096529202,859.9431788636213,848.0321762951606,836.2423533568304,824.5874162480463,812.9929059920969,801.5104931006257,790.1813543398348,779.0221982529124,768.0072493523704,757.0027208150377,746.2782682983637,735.729467139199,725.3546572574478,715.1347076064759,705.0929056855782,695.249384344471,685.577744381558,676.1229005794302,666.8340126377398,657.6269466879598,648.6334880729686,639.8612811448597,631.2702264947592,622.8557626707039,614.6222742950981,606.5814047832471,598.7119747677046,591.0554937561462,583.6021833269889,576.2974081007892,569.1682630441195
941.3945988299034,1000.0000000000018,984.6190625339211,971.697278923597,958.8924386524925,946.185225931046,933.5972075732378,921.0974624770437,908.7017322477443,896.3666211157376,884.0448854049391,871.9400469929168,859.9432730809006,848.0378664662957,836.252677090754,824.6022710785436,813.0078480704508,801.5265072896345,790.2004815391808,779.043605937869,768.0413425289559,757.0379090106877,746.3149813849935,735.782241236364,725.4060752089739,715.1851343097188,705.1434495733525,695.3012246880536,685.6305994182314,676.1783052216282,666.8913882597834,657.6879436019639,648.6963903391726,639.927158362874,631.3392310707113,622.9221030156566,614.693325691057,606.6563443941593,598.7895332570408,591.1357674280391,583.6852569468789,576.3836889149673,569.2717898734796
1019.8441487323953,1000.0000000000016,984.6249527686438,971.704314135597,958.9026181708856,946.1958673671443,933.6087996585738,921.1100541760031,908.7150894326467,896.3826670744875,884.0269863582055,871.9354658735223,859.9454579510417,848.0451744572432,836.2642529857972,824.6177836784462,813.0235277066934,801.5435549400222,790.2209788111101,779.0664147295154,768.0750265659251,757.0739870660135,746.3530920282838,735.8363427929986,725.4585549734046,715.2370336796599,705.1960396569815,695.3553945834955,685.6861881990782,676.2365498348813,666.9520447432328,657.7522750110289,648.7629218419249,639.9970379484943,631.4123856198481,622.9932923489312,614.7695465684914,606.7364831356243,598.8727363605474,591.2219428877875,583.7749115861175,576.4765651412257,569.380931560175
1098.2936986348873,1000.0000000000015,984.6302321334921,971.7111354492305,958.9123653960604,946.2063890532423,933.6203919797937,921.1227558032658,908.7285229481685,896.3988469277701,884.0132590870937,871.9336232016743,859.9495788835169,848.0539469378239,836.2769173702691,824.6337516890316,813.0397481616195,801.5614451122719,790.242657324447,779.0904506800861,768.1081606232545,757.1107598661996,746.3924077252407,735.8914698002507,725.5118843549442,715.2902383780462,705.2505086491681,695.4117352727891,685.7443771132735,676.297479515355,667.0158406481884,657.8198031059103,648.8329471913939,640.0707665521987,631.4895480186213,623.0692090381206,614.8507960939633,606.8216559935836,598.9614177044527,591.3138825434869,583.8709930374632,576.5758865386339,569.495448868809
1176.7432485373793,1000.0000000000018,984.6338951033391,971.71679875486,958.9207597650488,946.215896070176,933.6311547618515,921.1347288167543,908.7411890263529,896.4142955988492,884.0032363281932,871.9337713518767,859.9548571783654,848.0634230531217,836.2898465876452,824.6492982503167,813.0556151386327,801.5792975097373,790.2646831652559,779.1149431698078,768.139990520553,757.1474136816603,746.4321649971668,735.9467411469008,725.5652788261391,715.34407141856,705.3062093564108,695.4696039902574,685.8045479239935,676.3604348720348,667.0822004461578,657.8899322275557,648.905877978111,640.1477071959,631.5700871307787,623.149258963392,614.9364651390985,606.911181607916,599.0548896219357,591.4109983856711,583.9729023674573,576.681039644475,569.6145645134359
1255.1927984398712,1000.0000000000018,984.6341277905075,971.7194736810936,958.9259705462615,946.2225608588045,933.6392335248748,921.1441152663252,908.7512704533107,896.4271391167747,883.9953133224246,871.9341094956065,859.9595025152489,848.0718303635128,836.3013278010635,824.6626630325658,813.069428100325,801.595433685865,790.2853556118426,779.1382184281339,768.1689734644898,757.1822969086285,746.4707073269083,736.0001870012231,725.6170961811017,715.3969322405748,705.3615344519279,695.5274176359719,685.8651890386896,676.4238915937742,667.1495117524894,657.9610859026052,648.9801728609408,640.2262924480057,631.6524533859333,623.2319224012404,615.0249860129987,607.0035446527819,599.1516288840636,591.5117677539049,584.0790813189831,576.7904560188741,569.7365782866489
1333.6423483423632,1000.0000000000018,984.6325977584789,971.7208175154766,958.929594615746,946.2281008442233,933.6463004946877,921.1525940708198,908.7603859939767,896.4388926404486,883.9916060824096,871.9362139454817,859.9650145531365,848.0806611782502,836.3128928262119,824.6751790864537,813.0824724179902,801.61114730901,790.305987095414,779.1616122278143,768.1964114601952,757.2167394285119,746.5093959096051,736.0527098576905,725.668721475414,715.4503174335995,705.4179680142502,695.5866337541572,685.9277172532713,676.4891117946836,667.218818875883,658.0343592847277,649.0569940602944,640.307522720753,631.7380432466239,623.3182868183886,615.1177294067827,607.1000792724348,599.2529398510195,591.6174788479426,584.1908921217164,576.905175069702,569.8622322716909
1412.0918982448552,1000.0000000000011,984.6275875761827,971.7190658312505,958.9298142355677,946.2305339164928,933.6503336993969,921.1580921465262,908.7665628559223,896.4475501187518,883.9904241300176,871.938293067095,859.9695710659933,848.0879689301768,836.3226416902638,824.6849187165074,813.0928978750734,801.624630030401,790.3246528626929,779.1831922166615,768.2205227460813,757.2487443995408,746.5461627783732,736.1019272001422,725.7179255950294,715.5019912247099,705.4733394593026,695.6451359959774,685.9901543634305,676.554157217705,667.2881756045527,658.107811926246,649.1343665695434,640.3895373637881,631.8246023390712,623.4065451079715,615.2123687213087,607.1987436537936,599.3566166036996,591.7258145335746,584.3059380209176,577.023060421169,569.9893181915055
1490.5414481473472,1000.0000000000015,984.6215342382171,971.7165438822418,958.9289784429386,946.2320701193047,933.6534798261126,921.1627183255534,908.7718792008691,896.4551339059601,883.9929381518035,871.9420275685851,859.974990338285,848.0956240525074,836.3324838234777,824.6939666377633,813.1029022844249,801.638003546357,790.3433526469446,779.2049337797656,768.2436880766036,757.2803677234691,746.582957609233,736.1498483627431,725.7666862659123,715.5538439891974,705.5294042806662,695.7046781278525,686.0543150104043,676.6209765967276,667.3595199815885,658.1834162773935,649.2142512669358,640.4743162016516,631.9140362114726,623.4986191204384,615.310711892891,607.3013762587012,599.4645027274755,591.8386050621406,584.4258940354302,577.1459623280274,570.1199587350552
1568.9909980498392,1000.0000000000015,984.6152014999815,971.7139679021395,958.9277942943569,946.2333710111486,933.6563743182196,921.1670905225648,908.7769364926608,896.4622108130627,883.9995689070091,871.9479191866682,859.9818026449861,848.1041530580612,836.3429607229178,824.7028935361598,813.1130969290824,801.6518535969547,790.3626264181,779.2273793193393,768.2665884965814,757.3121639036973,746.6203019148799,736.1969283936734,725.8155072500381,715.6063726463566,705.5866280957528,695.7657276591203,686.1206941137294,676.6900862338126,667.4333462128932,658.2616825795487,649.2971505110321,640.5623607945048,632.0068299704219,623.5950123243691,615.4132043286077,607.4084485734552,599.5770548377031,591.9562851022764,584.5511440321139,577.2743168613084,570.2546361046742
