% Model,EMSI_model_V1_C_rate_2.5_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 10 2026, 23:46"
% Dimension,1
% Nodes,397
% Expressions,42
% Description,Line graph
% Arc length (µm),genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot,genproj1(cl)/w_tot
0,1000.0000000000005,989.9540352433784,972.2680499488023,954.3102047818987,936.3567584234802,918.5803223713868,901.142734282092,883.9402974313584,867.007057269235,850.3008818029134,833.8292632942846,817.5962125966626,801.5984824619081,786.0393103362126,770.5959224893202,755.3950608747904,740.5309416770873,726.0526731096767,711.9667631740172,698.2603381855885,684.97488536653,672.1256416395474,659.6647462037485,647.5984523073284,635.9209585482221,624.5949430395549,613.47931203383,602.6792457458776,592.117933692209,581.6638229417466,571.9006504858987,562.187081758452,552.5734983587429,543.1471081594926,534.0979328598938,525.6107937598534,517.7054986640362,510.2300947438704,503.0466347296677,496.04054805842406,489.16166047750596,482.3074691327947
78.44954990249195,1000.0000000000008,990.1128922763518,972.3504027261266,954.3895655195756,936.441842849262,918.7001634929092,901.288094870992,884.1033083685222,867.1767199800286,850.4751339341068,834.0057430104613,817.7737653375405,801.7736302843887,786.1752133946385,770.7335945217033,755.5409184374168,740.6836663475167,726.2108825542398,712.1221759827864,698.4186521608264,685.1397570005297,672.2860936400521,659.82372890089,647.7599788774185,636.0852272229727,624.7663711158438,613.6971187930714,602.9499161652776,592.4496500887971,582.1722196703658,572.4088929836956,562.7595705628692,553.2547597400646,543.9618565032396,535.0029287811104,526.4662164061411,518.363659843734,510.59963166036965,503.09351987824203,495.7731140944943,488.62677683963904,481.5663085878418
156.8990998049839,1000.0000000000011,990.2501087441947,972.4162307995942,954.4488240963415,936.510128014968,918.8024412056484,901.4146252714975,884.2466238758872,867.3267340635821,850.6298677088183,834.1626041444877,817.9315511580311,801.92930289046,786.2945993011045,770.8538792240574,755.6685020215491,740.8176082713514,726.3496343807955,712.2584386798379,698.5572633280375,685.2836360452172,672.4255591072855,659.9612874147907,647.8989613954554,636.2256634553432,624.9117656084056,613.8802889723632,603.1757588500282,592.7255172092541,582.5991777369758,572.8319625575707,563.2346559144277,553.8203373989671,544.639866940042,535.7574746499378,527.1812070258053,518.9157689055539,510.9130256348172,503.13999148083593,495.56034447669145,488.1940780296845,480.96440513202066
235.34864970747586,1000.0000000000015,990.3657345110804,972.4656155866345,954.4880609017637,936.561689488162,918.8872065293201,901.5223685728129,884.3702745064094,867.457132351684,850.7651094306158,834.299876967093,818.0696019523361,802.0655178656281,786.3974859707381,770.956787612343,755.7778338722129,740.9327993417476,726.4689472057579,712.375558004918,698.6761778666988,685.4065208867096,672.5440158247715,660.0773925667627,648.0153809718175,636.342239192211,625.0310841282719,614.0287507562379,603.3567018700938,592.945473048969,582.9445680334029,573.1697642979908,563.612234877296,554.2701334916078,545.1810006553932,536.3614223698225,527.755721556125,519.3619304033291,511.17049731346896,503.18635005965376,495.4025340519423,487.8638066703568,480.50188084495807
313.7981996099678,1000.0000000000008,990.459819441175,972.4986385046747,954.507356325411,936.5966028364073,918.9545104836387,901.6113678641415,884.4742908130461,867.5679476761271,850.8808854030704,834.417591749009,818.1879496146607,802.1822927953986,786.4838913186674,771.0423307025158,755.8689362344364,741.02927145186,726.5688396455405,712.4735406977711,698.7754019562856,685.508409911121,672.6414415760328,660.172015178115,648.1092187168828,636.4349263804557,625.1242842864709,614.1424323292259,603.4926732954407,593.1094556033323,583.2082614514736,573.4222032954183,563.8922045156413,554.6040501741414,545.5851188347858,536.8146238442114,528.189715934375,519.7022488908947,511.372267342579,503.2328961369014,495.2999776671723,487.6362053843692,480.1788578062811
392.2477495124598,1000.0000000000003,990.5324133986525,972.5153809711427,954.5067907568525,936.6149436272696,919.0044040883186,901.6816662346903,884.558703348753,867.6592128687023,850.9772219297495,834.5157787609671,818.286626039206,802.2796452652769,786.5538332600203,771.1105195105337,755.9418313532458,741.1070564948463,726.6493303165581,712.5523934981428,698.854941776274,685.5893015045675,672.7178141445928,660.2451260701592,648.1804557410296,636.5036969669558,625.1913236940321,614.2212618758588,603.5836011960325,593.2174028677343,583.3901288830124,573.5891846403182,564.0744618936321,554.8219896027256,545.8520826637127,537.1169309765498,528.4831460978342,519.9368289220848,511.5185563684033,503.27993023478416,495.25297016930733,487.5115167944367,479.9954580956159
470.6972994149517,1000.0000000000008,990.5835662476833,972.5159244034677,954.4864445856563,936.6167874283116,919.0369383630739,901.7333067736622,884.6235426664881,867.7309607612019,851.0541453142204,834.5944682736973,818.3656631201764,802.3575928607688,786.6073297099248,771.1613650523557,755.9965414736664,741.1661863638612,726.7104378352255,712.6121231457776,698.9148035061402,685.6491940531645,672.7731113139743,660.2966960642061,648.2290731546359,636.5485228985905,625.232159961986,614.2651675806685,603.6294136418351,593.269252837564,583.4900412198464,573.6706134231546,564.1589040754352,554.9238539335154,545.9817533276663,537.2681956702849,528.6359679837789,520.0657750507336,511.6095850371978,503.3277528755085,495.26180640527366,487.48998352327226,479.95180379259
549.1468493174436,1000.000000000001,990.6132229662317,972.50031534622,954.4459060700804,936.6020060877929,919.0519807894823,901.7661317527757,884.6685367433707,867.783029540103,851.1114769417983,834.653513347683,818.4249249869296,802.4158662759884,786.6441857562043,771.1945482730782,756.032738637833,741.2064078645391,726.7517825095213,712.6523685479619,698.9545514835418,685.6873427664651,672.8064351855156,660.3256876721174,648.253841769648,636.5678859374582,625.2447106658121,614.2704548550373,603.6251864642102,593.2588602766737,583.4994545478506,573.6572634959857,564.1345781420772,554.8965656965754,545.9582052765794,537.2511031714992,528.6344389474991,520.0825079920321,511.6473556866466,503.38678051461164,495.343848186472,487.5939848165449,480.0728872178635
627.5963992199356,1000.0000000000007,990.6218037053519,972.4702062691114,954.3861923081776,936.5719372761255,919.0503201625419,901.7809985230839,884.6942496043443,867.8164842198985,851.1497601121641,834.6937239377958,818.4659042318739,802.4560955478767,786.6664983774648,771.2118181950426,756.0522451185794,741.2302589913578,726.7755410777404,712.6758963384949,698.9769453671835,685.706121071245,672.8194283046107,660.3339037299319,648.2562578964538,636.5634291993283,625.2301794935197,614.2372863326207,603.5705673122816,593.1854318834141,583.412271551931,573.5438984293079,563.9958280841997,554.7337639899331,545.7726738417841,537.0548535259852,528.466950011963,519.9771199838667,511.6254270290269,503.455768362215,495.5014979032138,487.8287648368743,480.3645232760028
706.0459491224277,1000.0000000000013,990.6179966238698,972.4367272743714,954.3215489167543,936.5393287496955,919.0428986519971,901.7878635609128,884.7104206251322,867.8402689298822,851.1773453608001,834.7234904797939,818.4972501841598,802.4874127782024,786.6836877650544,771.2232940725592,756.0650729614267,741.2476415959047,726.791528846444,712.6927056153744,698.9923289562611,685.7157218811468,672.8222393181674,660.3324301379768,648.248897753914,636.5491816809528,625.2050662697075,614.1894701232012,603.4968265121823,593.0876776973364,583.2726959395566,573.3816048340387,563.8039127394418,554.5090472224746,545.5110925568456,536.7696619172984,528.2070104262325,519.7889315154843,511.54139510624333,503.4904998583626,495.6533501129527,488.08314957254385,480.6956108258513
