% Model,EMSI_model_V1_C_rate_1_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:17"
% Dimension,0
% Nodes,7410
% Expressions,9
% Description,"overpot_electrolyte, overpot_electrolyte_ohmic, overpot_electrolyte_concentration, overpot_ct, equilibrium_pot, overpot_rest, Cell potential, Number of cycles, Cell current"
% t,overpot_electrolyte (V),overpot_electrolyte_ohmic (V),overpot_electrolyte_concentration (V),overpot_ct (V),equilibrium_pot (V),overpot_rest (V),liion.cdc1.phis0 (V),liion.cdc1.cycle_counter,liion.cdc1.Icell (A)
0,8.75896244423302E-8,8.758961810792128E-8,6.334408920508536E-15,7.510777435119046E-7,2.648157383258887,1.0605054216872598E-7,2.6481583279767973,0,1.6958544678211163E-6
30,0.09046587497654196,0.042946161878265166,0.047519713098276795,0.1382824497605727,2.9549273921845973,0.18520219204474248,3.3688779089664544,0,0.8479272327816015
60,0.10539833607202148,0.04286481168555046,0.06253352438647103,0.12535990788050383,3.0676764168145247,0.15659200546255714,3.455026666229607,0,0.8479272327816015
90,0.10892126198619045,0.042623517870926934,0.06629774411526351,0.11645752433374149,3.1455936989515227,0.13416326857038327,3.505135753841838,0,0.8479272327816018
120,0.10882270576484539,0.04215559654140283,0.06666710922344256,0.10879544892950838,3.2040939232953187,0.11482789703686068,3.536539975026533,0,0.847927232781601
150,0.10767825204669619,0.041665862049062106,0.06601238999763409,0.1019254388455747,3.248572756710079,0.09774220063416643,3.555918648236516,0,0.8479272327816012
180,0.10720552798907498,0.041701719390075165,0.06550380859899982,0.0970726704730307,3.2824204444321134,0.08340696150749563,3.5701056044017148,0,0.8479272327816016
210,0.10759237070786995,0.042059630530566564,0.06553274017730339,0.09422899198530768,3.307588651822724,0.07353316860471304,3.582943183120615,0,0.8479272327816013
240,0.10807405497885826,0.04229522838866214,0.06577882659019613,0.09168063050569197,3.325863686639676,0.06970725663805254,3.5953256287622786,0,0.8479272327816019
270,0.10776108116531943,0.04203736136834508,0.06572371979697436,0.08811293096732051,3.340828222804177,0.0689239262132319,3.605626161150049,0,0.8479272327816016
