% Model,EMSI_model_V1_C_rate_0.5_T_ref_298_Permeability_1.9E-15_r_pos_7.mph
% Version,COMSOL 6.3.0.420
% Date,"Apr 11 2026, 17:02"
% Dimension,0
% Nodes,210
% Expressions,20
% Description,"Cell potential, Porosity anode, Porosity separator, Porosity cathode, Total strain anode, Total strain separator, Total strain cathode, Inelastic strain anode, Inelastic strain separator, Inelastic strain cathode, Elastic strain anode, Elastic strain separator, Elastic strain cathode, Average SOC anode, Average SOC cathode, SOL_graphite, SOL_silicon, Reservoir volume, Stack volume, Stack pressure"
% t,liion.cdc1.phis0 (V),aveop_an(dl.epsilon) (1),aveop_sep(dl.epsilon) (1),aveop_ca(dl.epsilon) (1),aveop_an(solid.evol) (1),aveop_sep(solid.evol) (1),aveop_ca(solid.evol) (1),aveop_an(solid.dvolic) (1),aveop_sep(solid.dvolic) (1),aveop_ca(solid.dvolic) (1),aveop_an(solid.eelvol) (1),aveop_sep(solid.eelvol) (1),aveop_ca(solid.eelvol) (1),liion.soc_average_pce1 (1),liion.soc_average_pce2 (1),sol_gr(liion.soc_average_pce1),sol_si(liion.soc_average_pce1),V_l_res (m^3),intop2(dl.epsilon*(1+solid.evol))*d_cell (m^3),boundary_load_dynamic (Pa)
0,2.6481583279777112,0.23600000000000013,0.4,0.2200000000000014,1.2800326577591534E-17,2.5233021760716945E-18,-1.3882955495716692E-18,1.0354544014303954E-17,0,-1.0964185248588295E-18,2.4440486532930874E-18,2.5233021760716945E-18,-2.7380910178923327E-19,0.002000000000001427,0.9419999999999905,3.0000000000044385E-4,9.518676588003401E-5,2.9377319999999995E-8,7.326475319999996E-7,8.415397789151907E-10
60,3.2113826686126137,0.23541634632577116,0.399762336857305,0.21987915656097984,7.12697239244687E-4,-3.9594837551983807E-4,-1.6415066590542705E-4,9.106625563235847E-4,0,-5.771138902335471E-6,-1.9796573036075541E-4,-3.9594837551983807E-4,-1.583793060829908E-4,0.00902236904362614,0.9361835176139212,0.011348858388103912,2.8063797210561376E-4,3.031253427584078E-8,7.317184819575552E-7,80710.20867600362
120,3.2961830308336264,0.2348145536870662,0.3995132712834863,0.21975279146814608,0.0014407033160170246,-8.105569692065062E-4,-3.3649895968346276E-4,0.0018461077212979901,0,-1.227507798882228E-5,-4.053644017524912E-4,-8.105569692065062E-4,-3.2422271492355307E-4,0.01610572475552142,0.9303163612701046,0.020258713493582745,3.9086546586035524E-4,3.1273030540855856E-8,7.307522817996771E-7,163574.3103783816
180,3.3544573747450066,0.23411094315619702,0.3992221956391302,0.21960500937421967,0.0022971382138747983,-0.0012946622361127693,-5.373538111241167E-4,0.002943973549178055,0,-1.9486084371467657E-5,-6.472034032691984E-4,-0.0012946622361127693,-5.178648355069838E-4,0.023189061687170144,0.924449200149488,0.027377061792795573,0.006947559185821,3.241049976583524E-8,7.296231282894452E-7,260857.24141520733
240,3.3977628150731944,0.2331892484988589,0.39883913293391227,0.21940992788610164,0.003416483577694165,-0.0019310422486045575,-7.998459327268931E-4,0.004382024508452214,0,-2.7423751837462118E-5,-9.655391514241814E-4,-0.0019310422486045575,-7.724168806900722E-4,0.030272333038302245,0.9185822220014499,0.030577992008607193,0.0290826088019654,3.3884507718448965E-8,7.281381500044669E-7,388395.70220894093
300,3.4285116505984683,0.23226115868776298,0.3984515033507175,0.21921297998243117,0.00454647512372163,-0.002574184160363217,-0.0010657895574005297,0.005833531529841863,0,-3.610771289125463E-5,-0.0012871224479087764,-0.002574184160363217,-0.0010296735876777414,0.037355640417522,0.9127151133133766,0.0330545746301627,0.05403601142448787,3.538198468973904E-8,7.266391710707805E-7,517077.90617747203
360,3.4485152735023297,0.2313060084871151,0.3980511828142769,0.2190099714420141,0.005712089553251289,-0.0032375130355544353,-0.0013405735829353186,0.0073308135176804404,0,-4.5556835412677704E-5,-0.001618754606240017,-0.0032375130355544353,-0.001295005165425093,0.04443879414864838,0.9068479607064752,0.03510032764242002,0.08065365051272765,3.692285059753851E-8,7.250931267169069E-7,649781.9525201273
420,3.4638061566859695,0.23034646131257042,0.3976475883113961,0.21880580044827613,0.006886027512636976,-0.0039053743162209996,-0.0016179545993787894,0.00883866138030048,0,-5.5789753045036556E-5,-0.0019527469187855073,-0.0039053743162209996,-0.0015621497797288953,0.05152214586009107,0.9009807493373871,0.0367680636762374,0.10874006593064597,3.847582840074758E-8,7.23536661718091E-7,783369.466291417
480,3.4784732590692795,0.22938117864408555,0.3972402895378908,0.21860015350906986,0.008069727738946784,-0.004578458638836077,-0.0018987268458013683,0.010359066275603328,0,-6.705468685293386E-5,-0.002289266525343507,-0.004578458638836077,-0.0018313822201842312,0.058605484471321884,0.8951135979807607,0.03837616094411858,0.13705691709618537,4.004128018289211E-8,7.219674167152037E-7,917999.511839976
540,3.493013118204537,0.22841878384548592,0.3968333349133887,0.21839728618338047,0.009255072233475856,-0.0052500663681753264,-0.0021841810410938565,0.0118799779807438,0,-8.355827458403028E-5,-0.002625012075720387,-0.0052500663681753264,-0.0021000338401542767,0.06568881801851845,0.8892464452932046,0.03973084288200841,0.1663571254077353,4.160232539716505E-8,7.204024523681719E-7,1052287.6427526819
